"id","pmid","title","author","refrence","link"
"1020","24215325","Novel angiotensin I-converting enzyme inhibitory peptides derived from an edible mushroom, Pleurotus cystidiosus O.K. Miller identified by LC-MS/MS","Ching Ching Lau1, Noorlidah Abdullah1* and Adawiyah Suriza Shuib","BMC Complementary and Alternative Medicine 2013, 13:313 ","http://www.ncbi.nlm.nih.gov/pubmed?term=24215325"
"1021","24215325","Novel angiotensin I-converting enzyme inhibitory peptides derived from an edible mushroom, Pleurotus cystidiosus O.K. Miller identified by LC-MS/MS","Ching Ching Lau1, Noorlidah Abdullah1* and Adawiyah Suriza Shuib","BMC Complementary and Alternative Medicine 2013, 13:313 ","http://www.ncbi.nlm.nih.gov/pubmed?term=24215325"
"1022","24215325","Novel angiotensin I-converting enzyme inhibitory peptides derived from an edible mushroom, Pleurotus cystidiosus O.K. Miller identified by LC-MS/MS","Ching Ching Lau1, Noorlidah Abdullah1* and Adawiyah Suriza Shuib","BMC Complementary and Alternative Medicine 2013, 13:313 ","http://www.ncbi.nlm.nih.gov/pubmed?term=24215325"
"1023","24215325","Novel angiotensin I-converting enzyme inhibitory peptides derived from an edible mushroom, Pleurotus cystidiosus O.K. Miller identified by LC-MS/MS","Ching Ching Lau1, Noorlidah Abdullah1* and Adawiyah Suriza Shuib","BMC Complementary and Alternative Medicine 2013, 13:313 ","http://www.ncbi.nlm.nih.gov/pubmed?term=24215325"
"1024","24215325","Novel angiotensin I-converting enzyme inhibitory peptides derived from an edible mushroom, Pleurotus cystidiosus O.K. Miller identified by LC-MS/MS","Ching Ching Lau1, Noorlidah Abdullah1* and Adawiyah Suriza Shuib","BMC Complementary and Alternative Medicine 2013, 13:313 ","http://www.ncbi.nlm.nih.gov/pubmed?term=24215325"
"1025","24215325","Novel angiotensin I-converting enzyme inhibitory peptides derived from an edible mushroom, Pleurotus cystidiosus O.K. Miller identified by LC-MS/MS","Ching Ching Lau1, Noorlidah Abdullah1* and Adawiyah Suriza Shuib","BMC Complementary and Alternative Medicine 2013, 13:313 ","http://www.ncbi.nlm.nih.gov/pubmed?term=24215325"
"1026","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1027","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1028","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1029","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1030","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1031","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1032","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1033","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1034","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1035","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1036","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1037","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1038","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1039","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1040","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1041","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1042","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1043","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1044","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1045","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1046","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1047","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1048","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1049","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1050","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1051","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1052","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1053","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1054","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1055","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1056","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1057","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1058","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1059","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1060","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1061","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1062","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1063","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1064","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1065","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1066","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1067","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1068","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1069","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1070","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1071","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1072","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1073","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1074","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1075","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1076","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1077","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1078","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1079","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1080","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1081","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1082","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1083","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1084","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1085","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1086","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1087","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1088","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1089","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1090","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1091","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1092","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1093","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1094","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1095","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1096","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1097","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1098","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1099","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1100","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
"1101","23271625","Review on the angiotensin-I-converting enzyme (ACE) inhibitor peptides from marine proteins.","He HL1, Liu D, Ma CB.","Appl Biochem Biotechnol. 2013 Feb;169(3):738-49.","http://www.ncbi.nlm.nih.gov/pubmed?term=23271625"
